"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",0,0,1,0,0,0,2023-08-23 13:43:20,219.17,1e-05,TRUE,110,FALSE,0.500005,0.01,2023-08-11 14:31:24,0,0,0,1,0,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",0,0,1,0,0,0,2023-08-10 15:08:16,208.45,1e-05,TRUE,115,FALSE,0.500005,0.01,2023-08-16 13:13:48,0,0,0,1,0,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",0,0,3,0,0,0,2023-08-18 10:08:27,192.91,1e-05,TRUE,120,FALSE,1.34375328125,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",0,0,20,0,0,0,2023-08-24 15:29:04,197.25,1e-05,TRUE,125,FALSE,1.328128359375,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",190,192.95,1,382,0,0,2023-07-14 13:23:13,217,1e-05,TRUE,130,FALSE,1.3359408203125,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",0,0,60,0,0,0,2023-08-24 15:27:23,186.36,1e-05,TRUE,135,FALSE,1.63476745117187,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,0.500005,0.01,2023-08-07 13:05:38,0,0,0,1,0,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",0,0,1,0,0,0,2023-08-22 13:20:10,178.22,1e-05,TRUE,145,FALSE,1.87011783691406,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",0,0,2,0,0,0,2023-08-22 11:14:21,175.24,1e-05,TRUE,150,FALSE,0.500005,0.01,2023-08-15 11:28:04,0,0,0,3,0,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,0.500005,0.01,2023-08-09 10:49:33,0,0,0,2,0,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,0.500005,0.01,2023-08-23 09:52:26,0,0,0,1,0,0,"MSFT230915P00160000"
12,"MSFT230915C00165000",78.85,82.25,19,279,0,0,2022-12-14 14:47:16,98.57,1e-05,TRUE,165,FALSE,0.500005,0.01,2023-08-01 12:29:48,0,0,0,8,0,0,"MSFT230915P00165000"
13,"MSFT230915C00170000",157.5,159.5,1,183,0,0,2023-07-24 10:31:57,176.95,2.20386191223144,TRUE,170,FALSE,0.500005,0.01,2023-08-23 12:25:29,0,0,0,1,0,0,"MSFT230915P00170000"
14,"MSFT230915C00175000",167.6,171.35,6,152,0,0,2023-06-23 11:20:02,162.39,3.39343413360596,TRUE,175,FALSE,0.500005,0.01,2023-08-18 15:45:34,0,0,0,5,0,0,"MSFT230915P00175000"
15,"MSFT230915C00180000",135,139,2,451,0,0,2023-07-19 10:33:15,179.2,1e-05,TRUE,180,FALSE,0.500005,0.01,2023-08-22 14:57:59,0,0,0,1,0,0,"MSFT230915P00180000"
16,"MSFT230915C00185000",130,134.25,2,266,0,0,2023-07-19 10:33:18,174.25,1e-05,TRUE,185,FALSE,0.500005,0.01,2023-08-15 12:34:14,0,0,0,2,0,0,"MSFT230915P00185000"
17,"MSFT230915C00190000",0,0,3,0,0,0,2023-08-22 14:40:10,134.35,1e-05,TRUE,190,FALSE,0.500005,0.01,2023-08-24 15:09:25,0,0,0,2,0,0,"MSFT230915P00190000"
18,"MSFT230915C00195000",0,0,3,0,0,0,2023-08-22 15:30:45,127.95,1e-05,TRUE,195,FALSE,0.500005,0.01,2023-08-24 12:33:47,0,0,0,1,0,0,"MSFT230915P00195000"
19,"MSFT230915C00200000",0,0,7,0,0,0,2023-08-22 10:39:39,124.5,1e-05,TRUE,200,FALSE,0.500005,0.02,2023-08-25 11:05:37,0,0,0,100,0,0,"MSFT230915P00200000"
20,"MSFT230915C00205000",0,0,3,0,0,0,2023-08-18 15:24:57,112,1e-05,TRUE,205,FALSE,0.500005,0.01,2023-08-25 15:36:52,0,0,0,14,0,0,"MSFT230915P00205000"
21,"MSFT230915C00210000",0,0,10,0,0,0,2023-08-23 13:58:35,119.85,1e-05,TRUE,210,FALSE,0.500005,0.01,2023-08-25 15:37:02,0,0,0,67,0,0,"MSFT230915P00210000"
22,"MSFT230915C00215000",0,0,1,0,0,0,2023-08-16 13:25:24,107.35,1e-05,TRUE,215,FALSE,0.2500075,0.01,2023-08-25 15:27:31,0,0,0,18,0,0,"MSFT230915P00215000"
23,"MSFT230915C00220000",0,0,5,0,0,0,2023-08-22 13:33:39,103.69,1e-05,TRUE,220,FALSE,0.2500075,0.03,2023-08-24 15:09:25,0,0,0,48,0,0,"MSFT230915P00220000"
