"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915C00110000","REGULAR","USD",2023-09-15,110,221.65,-6.950012,-3.0402503,219.4,221.05,16,17,2023-09-15 13:43:20,6.12500234375,TRUE
"MSFT230915C00115000","REGULAR","USD",2023-09-15,115,215.3,-7.449997,-3.3445551,214.4,216.05,11,17,2023-09-15 15:54:00,5.87500265625,TRUE
"MSFT230915C00120000","REGULAR","USD",2023-09-15,120,210.5,-9.949997,-4.513494,209.45,211,14,48,2023-09-15 10:48:11,5.7500028125,TRUE
"MSFT230915C00125000","REGULAR","USD",2023-09-15,125,207.4,10.149994,5.145751,204.6,205.7,2,262,2023-09-15 12:16:02,8.56641089599609,TRUE
"MSFT230915C00130000","REGULAR","USD",2023-09-15,130,202.4,-1.230011,-0.6040421,199.65,200.95,15,272,2023-09-15 12:16:02,6.64062669921875,TRUE
"MSFT230915C00135000","REGULAR","USD",2023-09-15,135,198.5,-2.100006,-1.0468625,194.5,195.8,13,268,2023-09-15 10:25:53,8.15625490234375,TRUE
"MSFT230915C00140000","REGULAR","USD",2023-09-15,140,196.15,74.84,61.69318,189.6,190.85,7,315,2023-09-15 09:32:53,4.87500390625,TRUE
"MSFT230915C00145000","REGULAR","USD",2023-09-15,145,191.15,1.0999908,0.5787902,184.55,186.6,2,77,2023-09-15 09:32:53,7.04687619140625,TRUE
"MSFT230915C00150000","REGULAR","USD",2023-09-15,150,181.78,-2.8200073,-1.5276312,179.5,182.5,9,42,2023-09-15 11:39:47,7.60937548828125,TRUE
"MSFT230915C00155000","REGULAR","USD",2023-09-15,155,175.15,15.789993,9.90838,173.85,176,6,265,2023-09-15 09:31:29,7.32421959472656,TRUE
"MSFT230915C00160000","REGULAR","USD",2023-09-15,160,175.05,-31.399994,-15.209492,169.55,172.5,11,125,2023-09-15 09:34:50,7.08203239746094,TRUE
"MSFT230915C00165000","REGULAR","USD",2023-09-15,165,98.57,0,0,78.85,82.25,19,279,2022-12-14 14:47:16,1e-05,TRUE
"MSFT230915C00170000","REGULAR","USD",2023-09-15,170,160.95,-3.25,-1.9792937,159.6,160.85,5,156,2023-09-15 15:34:54,3.750000625,TRUE
"MSFT230915C00175000","REGULAR","USD",2023-09-15,175,160.25,-2.1399994,-1.3178147,154.5,157.5,5,152,2023-09-15 09:38:07,6.25976780029297,TRUE
"MSFT230915C00180000","REGULAR","USD",2023-09-15,180,152.25,-6.5200043,-4.1065717,149.55,152.55,15,449,2023-09-15 12:00:31,6.07422115722656,TRUE
"MSFT230915C00185000","REGULAR","USD",2023-09-15,185,147.4,-0.05000305,-0.03391187,144.6,146.65,3,253,2023-09-15 12:24:01,5.21094098632812,TRUE
"MSFT230915C00190000","REGULAR","USD",2023-09-15,190,141.9,0.34999084,0.24725597,139.7,142.45,12,211,2023-09-15 11:34:16,5.62304984619141,TRUE
"MSFT230915C00195000","REGULAR","USD",2023-09-15,195,135.41,1.0599976,0.7889821,134.55,137.55,3,41,2023-09-15 09:34:20,5.36328454589844,TRUE
"MSFT230915C00200000","REGULAR","USD",2023-09-15,200,130.55,-5.949997,-4.358972,129.55,130.9,16,4152,2023-09-15 15:51:07,2.8750028125,TRUE
"MSFT230915C00205000","REGULAR","USD",2023-09-15,205,125.75,13.75,12.276786,124.55,127.5,7,93,2023-09-15 15:51:07,4.88867576416016,TRUE
"MSFT230915C00210000","REGULAR","USD",2023-09-15,210,123.45,3.5999985,3.0037534,119.55,120.9,7,454,2023-09-15 10:22:16,2.6250034375,TRUE
"MSFT230915C00215000","REGULAR","USD",2023-09-15,215,115.4,-4.119995,-3.4471176,114.55,115.95,6,2645,2023-09-15 15:50:25,2.9218776953125,TRUE
"MSFT230915C00220000","REGULAR","USD",2023-09-15,220,110.4,-9.599998,-7.999999,109.55,111,8,195,2023-09-15 15:50:25,2.9531276171875,TRUE
"MSFT230915C00225000","REGULAR","USD",2023-09-15,225,105.15,-8.049995,-7.1113033,104.6,107.35,13,5841,2023-09-15 14:43:45,4.00781749023438,TRUE
"MSFT230915C00230000","REGULAR","USD",2023-09-15,230,100.15,-9.279999,-8.480306,99.55,100.9,15,1060,2023-09-15 15:50:12,2.1250046875,TRUE
"MSFT230915C00235000","REGULAR","USD",2023-09-15,235,95.6,-9.169998,-8.752504,94.65,95.9,19,4116,2023-09-15 15:52:20,2.50781623046875,TRUE
"MSFT230915C00240000","REGULAR","USD",2023-09-15,240,90.6,-8.050003,-8.160165,89.6,90.75,33,1457,2023-09-15 15:52:20,3.218751953125,TRUE
"MSFT230915C00245000","REGULAR","USD",2023-09-15,245,85.6,-9.230003,-9.733211,84.6,85.8,16,1478,2023-09-15 15:52:20,3.08593978515625,TRUE
"MSFT230915C00250000","REGULAR","USD",2023-09-15,250,80.34,-9.530006,-10.604213,78.95,80.95,20,3485,2023-09-15 15:54:57,3.03320554199219,TRUE
"MSFT230915C00255000","REGULAR","USD",2023-09-15,255,75.35,-8.489998,-10.126429,74.6,75.9,37,1505,2023-09-15 15:50:24,1.828125859375,TRUE
"MSFT230915C00260000","REGULAR","USD",2023-09-15,260,71.15,-8.900002,-11.1180525,69.5,71.1,39,3035,2023-09-15 15:29:12,1.90625046875,TRUE
"MSFT230915C00265000","REGULAR","USD",2023-09-15,265,65.8,-7.5999985,-10.354221,64.6,65.95,26,1518,2023-09-15 15:51:29,1.69140779296875,TRUE
"MSFT230915C00270000","REGULAR","USD",2023-09-15,270,60.8,-8.049999,-11.692083,59.5,60.95,60,3658,2023-09-15 15:51:29,1.25000375,TRUE
"MSFT230915C00275000","REGULAR","USD",2023-09-15,275,55.43,-8.220001,-12.914377,54.65,55.9,56,2585,2023-09-15 15:56:11,1.43359658203125,TRUE
"MSFT230915C00280000","REGULAR","USD",2023-09-15,280,50.47,-8.369999,-14.225015,49.65,50.9,34,7502,2023-09-15 15:55:15,1.30859720703125,TRUE
"MSFT230915C00285000","REGULAR","USD",2023-09-15,285,45.6,-8.280003,-15.367487,43.95,46.55,58,2370,2023-09-15 15:58:00,1.1015669921875,TRUE
"MSFT230915C00287500","REGULAR","USD",2023-09-15,287.5,44.05,-2.5100021,-5.3908978,42.3,43.35,6,297,2023-09-15 13:43:05,1.21875390625,TRUE
"MSFT230915C00290000","REGULAR","USD",2023-09-15,290,40.65,-8.199997,-16.786076,39.7,42.45,119,4744,2023-09-15 15:35:28,1.68652500488281,TRUE
"MSFT230915C00292500","REGULAR","USD",2023-09-15,292.5,38.72,-7.1299973,-15.550703,37.1,38.4,10,405,2023-09-15 15:31:24,0.9257819921875,TRUE
"MSFT230915C00295000","REGULAR","USD",2023-09-15,295,35.2,-8.799999,-19.999998,34.6,35.95,49,2052,2023-09-15 15:48:34,0.9335944140625,TRUE
"MSFT230915C00297500","REGULAR","USD",2023-09-15,297.5,34.4,-4.5699997,-11.726968,32.2,33.4,7,244,2023-09-15 11:40:30,0.9179695703125,TRUE
"MSFT230915C00300000","REGULAR","USD",2023-09-15,300,30.2,-8.369999,-21.700802,29.6,31.7,646,12326,2023-09-15 15:57:00,1.14160585449219,TRUE
"MSFT230915C00302500","REGULAR","USD",2023-09-15,302.5,30.75,-5.580002,-15.359211,27.1,29,9,220,2023-09-15 10:03:09,1.00586434570312,TRUE
"MSFT230915C00305000","REGULAR","USD",2023-09-15,305,25.45,-8.59,-25.235018,24.6,26,248,2960,2023-09-15 15:39:56,0.726565234375,TRUE
"MSFT230915C00307500","REGULAR","USD",2023-09-15,307.5,23,-4.1100006,-15.1604595,22.1,24.8,9,245,2023-09-15 15:50:40,1.02441894042969,TRUE
"MSFT230915C00310000","REGULAR","USD",2023-09-15,310,20.53,-8.349998,-28.912739,18.95,20.95,263,6526,2023-09-15 15:50:40,0.936524072265625,TRUE
"MSFT230915C00312500","REGULAR","USD",2023-09-15,312.5,17.8,-4.92,-21.65493,17.05,18.5,27,257,2023-09-15 12:55:02,0.50195810546875,TRUE
"MSFT230915C00315000","REGULAR","USD",2023-09-15,315,15.3,-8.400001,-35.44304,14.65,15.9,291,3186,2023-09-15 15:39:56,0.741701801757812,TRUE
"MSFT230915C00317500","REGULAR","USD",2023-09-15,317.5,12.8,-8.599999,-40.186916,12.15,13.4,25,515,2023-09-15 15:39:56,0.65039412109375,TRUE
"MSFT230915C00320000","REGULAR","USD",2023-09-15,320,10.44,-8.36,-44.468082,9.6,10.95,700,13683,2023-09-15 15:58:51,0.570316796875,TRUE
"MSFT230915C00322500","REGULAR","USD",2023-09-15,322.5,8,-8.299999,-50.920242,7.15,8.45,451,1242,2023-09-15 15:57:14,0.4726615234375,TRUE
"MSFT230915C00325000","REGULAR","USD",2023-09-15,325,5.31,-8.58,-61.771057,5.1,7.15,497,5009,2023-09-15 15:59:35,0.586429916992187,TRUE
"MSFT230915C00327500","REGULAR","USD",2023-09-15,327.5,3.1,-8.139999,-72.41992,2.33,3.35,827,2594,2023-09-15 15:54:10,0.239509558105469,TRUE
"MSFT230915C00330000","REGULAR","USD",2023-09-15,330,0.33,-8.49,-96.25851,0.05,0.5,13962,26182,2023-09-15 15:59:59,0.0551852294921875,TRUE
"MSFT230915C00332500","REGULAR","USD",2023-09-15,332.5,0.01,-6.6699996,-99.850296,0,0.01,28465,3396,2023-09-15 15:57:06,0.0664155859375,FALSE
"MSFT230915C00335000","REGULAR","USD",2023-09-15,335,0.01,-4.14,-99.75903,0,0.01,22447,9580,2023-09-15 15:59:21,0.12500875,FALSE
"MSFT230915C00337500","REGULAR","USD",2023-09-15,337.5,0.01,-2.26,-99.55947,0,0.01,7540,7023,2023-09-15 15:57:00,0.179695703125,FALSE
"MSFT230915C00340000","REGULAR","USD",2023-09-15,340,0.02,-0.98,-98,0,0.01,9369,20181,2023-09-15 15:59:46,0.2304764453125,FALSE
"MSFT230915C00342500","REGULAR","USD",2023-09-15,342.5,0.01,-0.37,-97.36842,0,0.01,2754,8237,2023-09-15 15:59:46,0.2812571875,FALSE
"MSFT230915C00345000","REGULAR","USD",2023-09-15,345,0.02,-0.120000005,-85.71429,0,0.01,3110,18740,2023-09-15 15:59:15,0.32813171875,FALSE
"MSFT230915C00347500","REGULAR","USD",2023-09-15,347.5,0.01,-0.07,-87.5,0,0.01,669,5256,2023-09-15 15:15:35,0.37500625,FALSE
"MSFT230915C00350000","REGULAR","USD",2023-09-15,350,0.01,-0.04,-79.99999,0,0.01,826,16834,2023-09-15 15:59:24,0.42188078125,FALSE
"MSFT230915C00352500","REGULAR","USD",2023-09-15,352.5,0.01,-0.02,-66.66667,0,0.01,160,1455,2023-09-15 15:01:57,0.4687553125,FALSE
"MSFT230915C00355000","REGULAR","USD",2023-09-15,355,0.01,-0.01,-50,0,0.01,148,13966,2023-09-15 15:39:55,0.51562984375,FALSE
"MSFT230915C00357500","REGULAR","USD",2023-09-15,357.5,0.01,0,0,0,0.01,31,1075,2023-09-15 12:32:58,0.51562984375,FALSE
"MSFT230915C00360000","REGULAR","USD",2023-09-15,360,0.01,0,0,0,0.01,95,21961,2023-09-15 15:30:24,0.562504375,FALSE
"MSFT230915C00365000","REGULAR","USD",2023-09-15,365,0.01,0,0,0,0,49,15543,2023-09-15 14:47:18,0.500005,FALSE
"MSFT230915C00370000","REGULAR","USD",2023-09-15,370,0.01,0,0,0,0.01,3,10568,2023-09-15 13:43:23,0.7187528125,FALSE
"MSFT230915C00375000","REGULAR","USD",2023-09-15,375,0.01,0,0,0,0,4,8338,2023-09-15 13:11:27,0.500005,FALSE
"MSFT230915C00380000","REGULAR","USD",2023-09-15,380,0.01,0,0,0,0.01,3,16740,2023-09-15 15:15:10,0.87500125,FALSE
"MSFT230915C00385000","REGULAR","USD",2023-09-15,385,0.01,0,0,0,0.01,3,6169,2023-09-14 12:57:37,0.937500625,FALSE
"MSFT230915C00390000","REGULAR","USD",2023-09-15,390,0.01,0,0,0,0.01,35,11533,2023-09-15 12:12:52,1.03125484375,FALSE
"MSFT230915C00395000","REGULAR","USD",2023-09-15,395,0.01,0,0,0,0.01,1,3142,2023-09-14 10:34:03,1.09375453125,FALSE
"MSFT230915C00400000","REGULAR","USD",2023-09-15,400,0.01,0,0,0,0.01,25,14014,2023-09-15 13:46:09,1.15625421875,FALSE
"MSFT230915C00405000","REGULAR","USD",2023-09-15,405,0.01,0,0,0,0.01,1,1653,2023-09-12 12:37:38,1.25000375,FALSE
"MSFT230915C00410000","REGULAR","USD",2023-09-15,410,0.01,0,0,0,0.01,5,6978,2023-09-14 12:56:23,1.3125034375,FALSE
"MSFT230915C00415000","REGULAR","USD",2023-09-15,415,0.02,0,0,0,0.01,51,1767,2023-09-05 12:06:17,1.375003125,FALSE
"MSFT230915C00420000","REGULAR","USD",2023-09-15,420,0.01,0,0,0,0.01,3,8285,2023-09-13 10:31:00,1.4375028125,FALSE
"MSFT230915C00425000","REGULAR","USD",2023-09-15,425,0.01,0,0,0,0.01,41,1107,2023-09-08 10:09:20,1.5000025,FALSE
"MSFT230915C00430000","REGULAR","USD",2023-09-15,430,0.01,0,0,0,0.01,8,5515,2023-09-01 14:06:24,1.5625021875,FALSE
"MSFT230915C00435000","REGULAR","USD",2023-09-15,435,0.01,0,0,0,0.01,13,752,2023-09-05 09:30:10,1.625001875,FALSE
"MSFT230915C00440000","REGULAR","USD",2023-09-15,440,0.01,0,0,0,0.01,2,972,2023-09-12 12:43:04,1.6875015625,FALSE
"MSFT230915C00445000","REGULAR","USD",2023-09-15,445,0.01,0,0,0,0.01,162,1062,2023-08-17 14:20:43,1.75000125,FALSE
"MSFT230915C00450000","REGULAR","USD",2023-09-15,450,0.01,0,0,0,0.01,2,4708,2023-09-13 12:54:33,1.8125009375,FALSE
"MSFT230915C00455000","REGULAR","USD",2023-09-15,455,0.01,0,0,0,0.01,20,752,2023-09-01 15:44:22,1.875000625,FALSE
"MSFT230915C00460000","REGULAR","USD",2023-09-15,460,0.01,0,0,0,0.01,1,2457,2023-08-21 15:45:27,1.9375003125,FALSE
"MSFT230915C00465000","REGULAR","USD",2023-09-15,465,0.01,0,0,0,0.01,20,2234,2023-08-28 13:05:40,1.96875015625,FALSE
"MSFT230915C00470000","REGULAR","USD",2023-09-15,470,0.01,0,0,0,0.01,1,207,2023-09-12 09:41:43,2.031254921875,FALSE
"MSFT230915C00475000","REGULAR","USD",2023-09-15,475,0.01,0,0,0,0.01,1,1496,2023-09-11 09:30:11,2.06250484375,FALSE
"MSFT230915C00480000","REGULAR","USD",2023-09-15,480,0.01,0,0,0,0,3,481,2023-09-11 10:50:01,0.500005,FALSE
"MSFT230915C00485000","REGULAR","USD",2023-09-15,485,0.01,0,0,0,0.01,51,259,2023-08-14 10:42:24,2.18750453125,FALSE
"MSFT230915C00490000","REGULAR","USD",2023-09-15,490,0.03,0,0,0,0.01,1,415,2023-08-31 11:20:55,2.250004375,FALSE
"MSFT230915C00495000","REGULAR","USD",2023-09-15,495,0.01,0,0,0,0.01,52,1092,2023-08-14 12:43:26,2.31250421875,FALSE
"MSFT230915C00500000","REGULAR","USD",2023-09-15,500,0.01,0,0,0,0.01,1,2515,2023-09-01 09:30:09,2.3750040625,FALSE
"MSFT230915C00505000","REGULAR","USD",2023-09-15,505,0.01,0,0,0,0.01,12,451,2023-08-23 09:39:22,2.3750040625,FALSE
"MSFT230915C00510000","REGULAR","USD",2023-09-15,510,0.01,0,0,0,0.01,98,102,2023-08-14 10:29:55,2.43750390625,FALSE
"MSFT230915C00515000","REGULAR","USD",2023-09-15,515,0.01,0,0,0,0.01,118,235,2023-08-14 10:29:18,2.50000375,FALSE
"MSFT230915C00520000","REGULAR","USD",2023-09-15,520,0.01,0,0,0,0,9,166,2023-08-23 09:39:29,0.500005,FALSE
"MSFT230915C00525000","REGULAR","USD",2023-09-15,525,0.01,0,0,0,0,1,29,2023-09-14 09:30:14,0.500005,FALSE
