"Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
1,"MSFT230915C00110000",227.3,228.95,4,4,8.930008,4.074466,2023-09-11 14:24:08,228.1,3.8750003125,TRUE,110,FALSE,3.031252421875,0.01,2023-08-11 14:31:24,0,0,1764,1,0.03,0,"MSFT230915P00110000"
2,"MSFT230915C00115000",222.25,223.9,4,1,4.699997,2.1510284,2023-09-11 14:20:00,223.2,3.593751015625,TRUE,115,FALSE,3.093752265625,0.01,2023-08-16 13:13:48,0,0,1477,1,0.06,0,"MSFT230915P00115000"
3,"MSFT230915C00120000",217.25,218.95,1,54,7.75,3.6887195,2023-09-11 15:28:39,217.85,3.52734493164062,TRUE,120,FALSE,2.718753203125,0.01,2023-07-26 13:53:51,0,0,2510,1,0.02,0,"MSFT230915P00120000"
4,"MSFT230915C00125000",212.3,213.75,20,262,0,0,2023-08-24 15:29:04,197.25,3.1718770703125,TRUE,125,FALSE,2.718753203125,0.01,2023-07-20 12:22:01,0,0,1153,6,0.03,0,"MSFT230915P00125000"
5,"MSFT230915C00130000",207.3,208.35,9,282,1.6499939,0.80684304,2023-09-11 11:14:01,206.15,3.67773518066406,TRUE,130,FALSE,2.718753203125,0.02,2023-07-27 14:58:26,0,0,3955,3,0.05,0,"MSFT230915P00130000"
6,"MSFT230915C00135000",202.8,203.35,98,278,0,0,2023-09-08 14:42:29,199.49,3.08593978515625,TRUE,135,FALSE,3.32031419921875,0.02,2023-07-27 15:58:43,0,0,1226,3,0.5,0,"MSFT230915P00135000"
7,"MSFT230915C00140000",101.25,105,4,315,0,0,2022-12-14 14:46:44,121.31,1e-05,TRUE,140,FALSE,2.18750453125,0.01,2023-08-07 13:05:38,0,0,754,1,0.01,0,"MSFT230915P00140000"
8,"MSFT230915C00145000",192.3,194.4,1,77,0,0,2023-08-22 13:20:10,178.22,3.28515803710938,TRUE,145,FALSE,3.80273486816406,0.02,2023-07-21 15:52:21,0,0,372,1,2.13,0,"MSFT230915P00145000"
9,"MSFT230915C00150000",187.2,189.8,1,43,0,0,2023-08-29 10:17:10,176.35,3.30859547851562,TRUE,150,FALSE,2.06250484375,0.01,2023-09-11 11:37:09,0,0,1201,1,0.01,0,"MSFT230915P00150000"
10,"MSFT230915C00155000",0,0,8,265,0,0,2023-05-16 14:39:54,159.36,1e-05,TRUE,155,FALSE,1.96875015625,0.01,2023-08-09 10:49:33,0,0,1529,4,0.01,0,"MSFT230915P00155000"
11,"MSFT230915C00160000",156.6,158.9,11,125,0,0,2023-07-18 12:34:47,206.45,1e-05,TRUE,160,FALSE,2.1093797265625,0.01,2023-08-29 13:21:05,0,0,2077,3,0.04,0,"MSFT230915P00160000"
12,"MSFT230915C00165000",78.85,82.25,19,279,0,0,2022-12-14 14:47:16,98.57,1e-05,TRUE,165,FALSE,2.1093797265625,0.01,2023-08-30 14:24:07,0,0,1242,2,0.06,0,"MSFT230915P00165000"
13,"MSFT230915C00170000",157.5,159.5,1,183,0,0,2023-07-24 10:31:57,176.95,1e-05,TRUE,170,FALSE,2.22656693359375,0.01,2023-08-29 13:28:07,0,0,1712,20,0.16,0,"MSFT230915P00170000"
14,"MSFT230915C00175000",167.6,171.35,6,152,0,0,2023-06-23 11:20:02,162.39,4.53955510681152,TRUE,175,FALSE,2.4531288671875,0.01,2023-08-18 15:45:34,0,0,3248,5,0.52,0,"MSFT230915P00175000"
15,"MSFT230915C00180000",135,139,2,451,0,0,2023-07-19 10:33:15,179.2,1e-05,TRUE,180,FALSE,1.828125859375,0.01,2023-08-22 14:57:59,0,0,2395,1,0.05,0,"MSFT230915P00180000"
16,"MSFT230915C00185000",152.15,153.45,1,266,0,0,2023-08-28 10:53:44,137.85,2.48828502929688,TRUE,185,FALSE,2.80664360839844,0.01,2023-08-15 12:34:14,0,0,1664,2,2.13,0,"MSFT230915P00185000"
17,"MSFT230915C00190000",147.95,149.6,2,213,0,0,2023-09-06 13:47:09,141.55,2.58594103515625,TRUE,190,FALSE,1.46875265625,0.01,2023-08-31 14:29:49,0,0,2733,20,0.01,0,"MSFT230915P00190000"
18,"MSFT230915C00195000",142.4,144.6,3,42,0,0,2023-08-31 10:44:58,134.35,2.32617605957031,TRUE,195,FALSE,1.40625296875,0.01,2023-09-06 11:06:33,0,0,1506,5,0.01,0,"MSFT230915P00195000"
19,"MSFT230915C00200000",137.35,138.95,10,4169,0,0,2023-09-07 09:30:33,131.5,1.94140654296875,TRUE,200,FALSE,1.34375328125,0.01,2023-09-08 10:57:39,0,0,7718,3,0.01,0,"MSFT230915P00200000"
20,"MSFT230915C00205000",132.35,133.45,3,128,0,0,2023-08-18 15:24:57,112,2.10742660644531,TRUE,205,FALSE,1.578127109375,0.01,2023-09-05 11:17:15,0,0,3117,26,0.1,0,"MSFT230915P00205000"
21,"MSFT230915C00210000",127.35,128.45,10,471,0,0,2023-08-23 13:58:35,119.85,2.01758308105469,TRUE,210,FALSE,1.25000375,0.01,2023-09-05 11:16:49,0,0,5550,2,0.01,0,"MSFT230915P00210000"
22,"MSFT230915C00215000",122.3,123.55,4,2646,0,0,2023-08-29 14:24:22,113.05,1.98535163574219,TRUE,215,FALSE,1.1875040625,0.01,2023-09-07 15:52:41,0,0,2871,10,0.01,0,"MSFT230915P00215000"
23,"MSFT230915C00220000",117.4,118.95,5,213,0,0,2023-09-08 09:30:02,110.03,1.64453302734375,TRUE,220,FALSE,1.125004375,0.01,2023-09-11 13:47:18,0,0,4609,10,0.01,0,"MSFT230915P00220000"
