"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"MSFT230915C00110000","REGULAR","USD",2023-09-15,110,219.17,0,0,218.2,218.85,1,4,2023-08-23 13:43:20,2.41601958496094,TRUE
"MSFT230915C00115000","REGULAR","USD",2023-09-15,115,208.45,0,0,213.2,214.3,1,2,2023-08-10 15:08:16,2.42090238525391,TRUE
"MSFT230915C00120000","REGULAR","USD",2023-09-15,120,192.91,0,0,208.05,209.05,3,54,2023-08-18 10:08:27,2.24658641479492,TRUE
"MSFT230915C00125000","REGULAR","USD",2023-09-15,125,197.25,0,0,203.25,204.55,20,265,2023-08-24 15:29:04,2.29590269775391,TRUE
"MSFT230915C00130000","REGULAR","USD",2023-09-15,130,217,0,0,190,192.95,1,382,2023-07-14 13:23:13,1e-05,TRUE
"MSFT230915C00135000","REGULAR","USD",2023-09-15,135,186.36,0,0,193.2,194.45,60,295,2023-08-24 15:27:23,2.10254380615234,TRUE
"MSFT230915C00140000","REGULAR","USD",2023-09-15,140,121.31,0,0,101.25,105,4,315,2022-12-14 14:46:44,1e-05,TRUE
"MSFT230915C00145000","REGULAR","USD",2023-09-15,145,178.22,0,0,183,184.3,1,77,2023-08-22 13:20:10,1.890625546875,TRUE
"MSFT230915C00150000","REGULAR","USD",2023-09-15,150,176.35,1.1100006,0.63341737,177.85,178.75,1,43,2023-08-22 11:14:21,1.68164221679687,TRUE
"MSFT230915C00155000","REGULAR","USD",2023-09-15,155,159.36,0,0,0,0,8,265,2023-05-16 14:39:54,1e-05,TRUE
"MSFT230915C00160000","REGULAR","USD",2023-09-15,160,206.45,0,0,156.6,158.9,11,125,2023-07-18 12:34:47,1e-05,TRUE
"MSFT230915C00165000","REGULAR","USD",2023-09-15,165,98.57,0,0,78.85,82.25,19,279,2022-12-14 14:47:16,1e-05,TRUE
"MSFT230915C00170000","REGULAR","USD",2023-09-15,170,176.95,0,0,157.5,159.5,1,183,2023-07-24 10:31:57,1.50830323974609,TRUE
"MSFT230915C00175000","REGULAR","USD",2023-09-15,175,162.39,0,0,167.6,171.35,6,152,2023-06-23 11:20:02,3.18115439086914,TRUE
"MSFT230915C00180000","REGULAR","USD",2023-09-15,180,179.2,0,0,135,139,2,451,2023-07-19 10:33:15,1e-05,TRUE
